species,dataset,donor,stage_label,n_variants,n_unique_exact_sites,exact_site_same_site_pairs,total_site_pairs,exact_site_collision_rate,same_window_pairs_10bp,empirical_same_window_probability_10bp,top_10bp_chrom,top_10bp_start,top_10bp_end,top_10bp_n_unique_sites,top_window_pairs_10bp,top_window_pair_fraction_10bp,top_two_germ_layer_10bp_chrom,top_two_germ_layer_10bp_start,top_two_germ_layer_10bp_end,top_two_germ_layer_10bp_n_unique_sites,top_two_germ_layer_10bp_n_germ_layers,top_two_germ_layer_10bp_germ_layers,top_two_germ_layer_10bp_window_pairs,top_two_germ_layer_10bp_window_pair_fraction,top_two_germ_layer_10bp_mutation_frequency_per_bp,top_two_germ_layer_10bp_mutation_frequency_per_kb,top_two_germ_layer_10bp_random_exact_site_probability,top_two_germ_layer_10bp_uniform_same_position_probability_given_window_hits,same_window_pairs_100bp,empirical_same_window_probability_100bp,top_100bp_chrom,top_100bp_start,top_100bp_end,top_100bp_n_unique_sites,top_window_pairs_100bp,top_window_pair_fraction_100bp,top_two_germ_layer_100bp_chrom,top_two_germ_layer_100bp_start,top_two_germ_layer_100bp_end,top_two_germ_layer_100bp_n_unique_sites,top_two_germ_layer_100bp_n_germ_layers,top_two_germ_layer_100bp_germ_layers,top_two_germ_layer_100bp_window_pairs,top_two_germ_layer_100bp_window_pair_fraction,top_two_germ_layer_100bp_mutation_frequency_per_bp,top_two_germ_layer_100bp_mutation_frequency_per_kb,top_two_germ_layer_100bp_random_exact_site_probability,top_two_germ_layer_100bp_uniform_same_position_probability_given_window_hits,same_window_pairs_1kb,empirical_same_window_probability_1kb,top_1kb_chrom,top_1kb_start,top_1kb_end,top_1kb_n_unique_sites,top_window_pairs_1kb,top_window_pair_fraction_1kb,top_two_germ_layer_1kb_chrom,top_two_germ_layer_1kb_start,top_two_germ_layer_1kb_end,top_two_germ_layer_1kb_n_unique_sites,top_two_germ_layer_1kb_n_germ_layers,top_two_germ_layer_1kb_germ_layers,top_two_germ_layer_1kb_window_pairs,top_two_germ_layer_1kb_window_pair_fraction,top_two_germ_layer_1kb_mutation_frequency_per_bp,top_two_germ_layer_1kb_mutation_frequency_per_kb,top_two_germ_layer_1kb_random_exact_site_probability,top_two_germ_layer_1kb_uniform_same_position_probability_given_window_hits
Human,TabSap,TSP10,Adult-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP14,Embryoblast,474,474,0,112101,0.0,0,0.0,chr1,788791,788800,1,0,0.0,chr1,184612191,184612200,1,4,Ectoderm;Ectoderm/Endoderm;Endoderm;Mesoderm,0,0.0,0.1,100.0,0.0,0.1,4,3.568210809894648e-05,chr6,53236101,53236200,2,1,8.92052702473662e-06,chr19,35511401,35511500,2,3,Ectoderm;Endoderm;Mesoderm,1,8.92052702473662e-06,0.02,20.0,8.92052702473662e-08,0.01,4,3.568210809894648e-05,chr6,53236001,53237000,2,1,8.92052702473662e-06,chr19,35511001,35512000,2,3,Ectoderm;Endoderm;Mesoderm,1,8.92052702473662e-06,0.002,2.0,8.92052702473662e-09,0.001
Human,TabSap,TSP14,Germ layer-specific,737,737,0,271216,0.0,1,3.6870981063064124e-06,chr9,71690511,71690520,2,1,3.6870981063064124e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,9,3.3183882956757714e-05,chr1,161542701,161542800,2,1,3.6870981063064124e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,23,8.480325644504748e-05,chr1,161542001,161543000,5,10,3.6870981063064125e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP14,Tissue-specific,48,48,0,1128,0.0,0,0.0,chr1,155621321,155621330,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,chr1,155621301,155621400,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,chr1,155621001,155622000,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP14,Adult-specific,1013,1013,0,512578,0.0,2,3.901845182586845e-06,chr7,134579571,134579580,2,1,1.9509225912934225e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,4,7.80369036517369e-06,chr7,134579501,134579600,2,1,1.9509225912934225e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,6,1.1705535547760536e-05,chr1,16624001,16625000,2,1,1.9509225912934225e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP15,Embryoblast,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP15,Germ layer-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP15,Tissue-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP15,Adult-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP2,Embryoblast,853,853,0,363378,0.0,2,5.5039105284304495e-06,chr3,160800931,160800940,2,1,2.7519552642152247e-06,chr3,160800931,160800940,2,2,Endoderm;Mesoderm,1,2.7519552642152247e-06,0.2,200.0,2.7519552642152245e-07,0.1,12,3.30234631705827e-05,chr2,229145301,229145400,2,1,2.7519552642152247e-06,chr2,229145301,229145400,2,2,Endoderm;Mesoderm,1,2.7519552642152247e-06,0.02,20.0,2.7519552642152248e-08,0.01,13,3.577541843479792e-05,chr2,164818001,164819000,2,1,2.7519552642152247e-06,chr2,164818001,164819000,2,2,Endoderm;Mesoderm,1,2.7519552642152247e-06,0.002,2.0,2.7519552642152248e-09,0.001
Human,TabSap,TSP2,Germ layer-specific,1823,1823,0,1660753,0.0,8,4.817092005855175e-06,chr2,177432421,177432430,2,1,6.021365007318969e-07,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,18,1.0838457013174144e-05,chr18,62125001,62125100,3,3,1.8064095021956908e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,24,1.4451276017565526e-05,chr18,62125001,62126000,3,3,1.8064095021956908e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP2,Tissue-specific,331,331,0,54615,0.0,1,1.8309988098507736e-05,chr10,121549091,121549100,2,1,1.8309988098507736e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,3,5.492996429552321e-05,chr1,7751401,7751500,2,1,1.8309988098507736e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,3,5.492996429552321e-05,chr1,7751001,7752000,2,1,1.8309988098507736e-05,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP2,Adult-specific,1915,1915,0,1832655,0.0,5,2.72828219168365e-06,chr1,109989821,109989830,2,1,5.456564383367301e-07,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,15,8.18484657505095e-06,chr1,109989801,109989900,2,1,5.456564383367301e-07,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,26,1.418706739675498e-05,chr20,50601001,50602000,3,3,1.6369693150101902e-06,chr1,51876001,51877000,2,2,Endoderm;Mesoderm,1,5.456564383367301e-07,0.002,2.0,5.456564383367301e-10,0.001
Human,TabSap,TSP21,Embryoblast,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP21,Germ layer-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP21,Tissue-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP21,Adult-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP26,Embryoblast,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP26,Germ layer-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP26,Tissue-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP26,Adult-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP30,Embryoblast,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP30,Germ layer-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP30,Tissue-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP30,Adult-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP4,Embryoblast,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP4,Germ layer-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP4,Tissue-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP4,Adult-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP7,Embryoblast,503,503,0,126253,0.0,1,7.920603866838809e-06,chr1,1292851,1292860,2,1,7.920603866838809e-06,chr1,1292851,1292860,2,2,Ectoderm/Endoderm;Mesoderm,1,7.920603866838809e-06,0.2,200.0,7.920603866838808e-07,0.1,4,3.1682415467355234e-05,chr1,1292801,1292900,2,1,7.920603866838809e-06,chr1,1292801,1292900,2,2,Ectoderm/Endoderm;Mesoderm,1,7.920603866838809e-06,0.02,20.0,7.920603866838808e-08,0.01,7,5.544422706787165e-05,chr1,1292001,1293000,2,1,7.920603866838809e-06,chr1,1292001,1293000,2,2,Ectoderm/Endoderm;Mesoderm,1,7.920603866838809e-06,0.002,2.0,7.920603866838809e-09,0.001
Human,TabSap,TSP7,Germ layer-specific,1180,1180,0,695610,0.0,10,1.4375871537211944e-05,chr2,223959831,223959840,2,1,1.4375871537211944e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,20,2.8751743074423888e-05,chr2,223959801,223959900,3,3,4.312761461163583e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,25,3.593967884302986e-05,chr2,223959001,223960000,3,3,4.312761461163583e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP7,Tissue-specific,150,150,0,11175,0.0,0,0.0,chr1,9556791,9556800,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,chr1,9556701,9556800,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,chr1,9556001,9557000,1,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP7,Adult-specific,1199,1199,0,718201,0.0,5,6.961839373657235e-06,chr2,159136231,159136240,2,1,1.392367874731447e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,14,1.949315024624026e-05,chr2,159136201,159136300,2,1,1.392367874731447e-06,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,17,2.3670253870434598e-05,chr2,159136001,159137000,2,1,1.392367874731447e-06,chr10,104018001,104019000,2,2,Ectoderm/Endoderm;Mesoderm,1,1.392367874731447e-06,0.002,2.0,1.3923678747314469e-09,0.001
Human,TabSap,TSP9,Embryoblast,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP9,Germ layer-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP9,Tissue-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
Human,TabSap,TSP9,Adult-specific,0,0,0,0,0.0,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.1,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.01,0,0.0,,,,0,0,0.0,,,,0,0,,0,0.0,0.0,0.0,0.0,0.001
